type,resource_type,resource_status,recommendation,tags,expected_duration,locale,name,creator,description,thumbnail,link,online_link,registration_link,event_address,date_from,date_to
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,"Fully Loved, Fully Known: Known by God. Loved Without Limits.",Jackie Bledsoe,"Do you ever feel unseen, misunderstood, or like you don’t quite measure up? The truth is, God knows you completely and loves you unconditionally. In this 5-day plan through Psalm 139, you’ll discover the freedom, peace, and joy of being fully loved and fully known by your Creator. Each day blends Scripture, real-life stories, and reflection to help you walk closer to God in confidence of His love for you.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F63026%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/63026-fully-loved-fully-known-known-by-god-love,,,,,
resource,reading_plan,,9,,30,,,,,,,,,,,
,,,,,,en,The Word Is Life,Carmelo Orlando,"""30 Days in the Word"" isn't just a reading plan... it's a breath of fresh air for the soul! Every day you'll receive nourishment, strength, light, and direction straight from the heart of God. In a world that stifles faith, the Word is your spiritual survival. Read, pray, grow... and live! Let the Word live within you and become your joy, your weapon, your anchor. It's time to shine!",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62544%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62544-the-word-is-life,,,,,
resource,reading_plan,,9,,30,,,,,,,,,,,
,,,,,,en,Find Hope in God's Unfailing Love,Rick Warren/Daily Hope,"God wanted you alive just so he could love you! The Bible repeatedly tells us that God is love—not that he has love; he is love. It is his nature, his character. In this 30-day reading plan, you’ll learn more about God’s love for you and how you can love him and others with his help. You’ll discover that the only reason there is any love in the universe is because your Creator is a God of love. And the only reason you are capable of giving and receiving love is because God made you in his image.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62355%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62355-find-hope-in-gods-unfailing-love,,,,,
resource,reading_plan,,9,,3,,,,,,,,,,,
,,,,,,en,Well Encounters- Finding Living Water in Unexpected Places,Rachel G. Scott & Friends,"What if your most unexpected moments could become encounters with the living God? This devotional explores how Jesus meets us at our spiritual wells, in our shame, need, and brokenness, offering the living water that truly satisfies and transforms unlikely meetings into launching pads for His purposes in our lives.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62265%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62265-well-encounters-finding-living-water-in-unexpe,,,,,
resource,reading_plan,,9,,30,,,,,,,,,,,
,,,,,,en,Father’s Love:  30 Days of Discovering God as Father,Women Thrive Global,"So many know God only through the lenses of their upbringing and unfortunately, some people only know Him by whatever false religion and human doctrines have boxed him in to be. Few people truly know and experience Him as Father and Daddy. This 30-day devotional invites you into the heart and many wonderful characteristics of God that will lead you deeper into His embrace, helping you see Him in a new light and truly come to Him at all times with boldness and confidence.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62043%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62043-fathers-love-30-days-of-discovering-god-as-fat,,,,,
resource,reading_plan,,9,,30,,,,,,,,,,,
,,,,,,en,"Made for More: 30 Days of Experiencing More Life, Love, and Freedom",Zoweh,"This reading plan is an invitation to a journey of more deeply experiencing the life, love, and freedom God has for you. This is not mere academics but an encounter in the field of life–your life. Through Scripture, stories, and opportunities to reflect, you’ll be invited to notice, see, and hear where God is loving you, speaking to you, and inviting you to experience more life, love, and freedom.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62343%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62343-made-for-more-30-days-of-experiencing-more,,,,,
resource,reading_plan,,9,,10,,,,,,,,,,,
,,,,,,en,The Power of His Word,Avivamiento,"Discover how God's Word sustains the universe and transforms every area of your life. Just as Isaac sowed in a time of famine and reaped a hundredfold, so can you walk in the provision and fulfillment of God's promises, believing His Word above all circumstances. During these 10 days, you will learn to trust, declare, and move forward in what God has spoken, experiencing the power that is released when you take His Word as truth.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62609%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62609-the-power-of-his-word,,,,,
resource,reading_plan,,9,,5,,,,,,,,,,,
,,,,,,en,When a Fresh Start Goes Wrong,Chris Dew Ministries,"Genesis reminds us that even after the flood, humanity’s struggle with sin didn’t wash away. Noah’s fresh start shows us that the real problem isn’t our circumstances—it’s the sin within us. Too often, we chase recognition instead of embracing God’s call to be a blessing. This devotional invites us to wrestle with those truths and discover what it means to live with God’s purpose at the center.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62291%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62291-when-a-fresh-start-goes-wrong,,,,,
resource,reading_plan,,9,,3,,,,,,,,,,,
,,,,,,en,"Lead, Love, Serve: The Calling of Godly Manhood",Mike Paalz,"Pop culture slogans like “live, laugh, love” set a shallow standard for life. God calls men to something weightier and eternal: lead, love, serve. Leadership is not about power but stewardship under Christ. Love is not sentiment but sacrificial devotion. Service is not weakness but the mark of true strength. In this 3-day devotional, you will be challenged to embrace God’s design for manhood. To lead with integrity, to love with Christlike compassion, and to serve with humility is the calling of every godly man.",https://www.bible.com/_next/image?url=https%3A%2F%2Fimageproxy.youversionapi.com%2Fhttps%3A%2F%2Fs3.amazonaws.com%2Fyvplans%2F62094%2F1280x720.jpg&w=3840&q=75,https://www.bible.com/en/reading-plans/62094-lead-love-serve-the-calling-of-godly-manhood,,,,,
resource,reading_plan,,9,,7,,,,,,,,,,,
